#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 09 51 999 99.0 99.0  1.72 12.50  7.16 321 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 10 21 999 99.0 99.0  1.68 13.33  7.17 318 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 10 51 999 99.0 99.0  1.66 13.33  7.29 319 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 04 11 21 999 99.0 99.0  1.65 13.33  7.19 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 04 11 51 999 99.0 99.0  1.83 12.50  7.71 325 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 04 12 21 999 99.0 99.0  1.76 12.50  7.83 321 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 12 51 999 99.0 99.0  1.72 10.53  7.57 318 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 13 21 999 99.0 99.0  1.85 12.50  7.99 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 13 51 999 99.0 99.0  1.89 11.76  7.92 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 14 21 999 99.0 99.0  2.02 10.53  8.11 321 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 14 51 999 99.0 99.0  2.02 12.50  7.74 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 15 21 999 99.0 99.0  2.06  9.88  7.45 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 15 51 999 99.0 99.0  2.07 13.33  7.72 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 16 21 999 99.0 99.0  2.05  9.88  7.45 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 16 51 999 99.0 99.0  1.82 10.53  7.02 311 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 17 21 999 99.0 99.0  2.05  9.09  7.41 312 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 17 51 999 99.0 99.0  2.15 11.11  7.43 312 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 18 21 999 99.0 99.0  2.04  9.09  7.06 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 18 51 999 99.0 99.0  1.98 13.33  7.35 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 19 21 999 99.0 99.0  1.85 12.50  6.92 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 04 23 21 999 99.0 99.0  1.65 10.53  6.61 315 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 04 23 51 999 99.0 99.0  1.69 12.50  6.66 324 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 00 21 999 99.0 99.0  1.88 12.50  6.90 321 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 00 51 999 99.0 99.0  1.76 11.76  6.64 322 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 01 21 999 99.0 99.0  1.86 12.50  7.17 318 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 01 51 999 99.0 99.0  1.87 11.76  7.20 325 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 02 51 999 99.0 99.0  1.86 11.76  6.99 324 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 03 21 999 99.0 99.0  1.98 11.76  7.47 325 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 03 51 999 99.0 99.0  1.96 11.76  7.37 329 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 04 21 999 99.0 99.0  2.07 11.76  7.33 325 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 04 51 999 99.0 99.0  2.02 10.53  7.24 319 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 05 21 999 99.0 99.0  2.15 11.11  7.51 319 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 05 05 51 999 99.0 99.0  2.08 11.11  7.45 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 06 21 999 99.0 99.0  2.02 11.76  6.90 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 06 51 999 99.0 99.0  2.14 10.53  7.34 322 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 07 21 999 99.0 99.0  2.15 11.76  7.48 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 07 51 999 99.0 99.0  1.96 11.11  7.17 318 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 08 21 999 99.0 99.0  2.08 11.11  7.35 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 08 51 999 99.0 99.0  2.18 11.11  7.17 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 09 21 999 99.0 99.0  2.14 11.76  7.49 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 09 51 999 99.0 99.0  2.07 11.11  7.45 324 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 10 21 999 99.0 99.0  1.97 10.53  7.14 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 10 51 999 99.0 99.0  1.88 11.11  7.13 322 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 11 21 999 99.0 99.0  1.84 11.11  7.18 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 11 51 999 99.0 99.0  1.90 11.76  7.55 319 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 12 21 999 99.0 99.0  1.76 11.11  7.51 317 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 12 51 999 99.0 99.0  1.83 11.76  7.75 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 13 21 999 99.0 99.0  1.93 11.11  7.90 319 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 05 13 51 999 99.0 99.0  1.94 12.50  8.14 324 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 14 21 999 99.0 99.0  2.05 11.11  8.33 322 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 14 51 999 99.0 99.0  1.73 11.11  7.65 324 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 15 21 999 99.0 99.0  1.90 10.53  7.88 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 15 51 999 99.0 99.0  1.91 11.11  7.66 311 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 16 21 999 99.0 99.0  1.94 12.50  8.06 317 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 16 51 999 99.0 99.0  2.13 11.76  8.52 317 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 05 17 21 999 99.0 99.0  2.26 11.76  8.72 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 17 51 999 99.0 99.0  2.19 11.76  8.89 314 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 18 21 999 99.0 99.0  2.49 13.33  9.34 324 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 18 51 999 99.0 99.0  2.77 11.11  9.55 312 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 05 19 21 999 99.0 99.0  3.00 12.50  9.89 312 9999.0 999.0  24.8 999.0 99.0 99.00
